date,open,high,low,close,volume
2018-03-01,525.528483274937,528.8342653946825,519.9473457707851,525.3997192382812,2226114
2018-03-05,522.4804495442365,545.1484801503799,520.8060974414487,541.6709594726562,4765322
2018-03-06,542.5726420205704,544.2899157064629,528.0616584119646,529.9935913085938,2424505
2018-03-07,532.182918514681,537.892872484625,520.8059843275269,522.9525756835938,1787149
2018-03-08,528.0616759638393,529.5642904889396,517.7580335060082,521.3643188476562,1858046
2018-03-09,523.5107380604716,535.0164368927236,520.7630904981215,531.6677856445312,2095483
2018-03-12,533.3422952152375,546.4365070519107,529.5213507880475,531.9684448242188,4336200
2018-03-13,532.3547592041682,536.6050213921228,526.8594633076375,531.6249389648438,2306960
2018-03-14,530.208167757201,550.1714712395571,530.208167757201,548.7546997070312,3825750
2018-03-15,550.9872053659859,559.7882319322426,538.4081561889641,542.5296020507812,5855371
2018-03-16,544.9767456054688,548.6688730806309,538.365232271605,544.9767456054688,3741772
2018-03-19,545.1055003768766,547.2950659370825,522.0511254225877,523.6825561523438,1731324
2018-03-20,519.4752884715637,545.4919742557576,517.8438575118973,543.860595703125,3320421
2018-03-21,545.2342931868243,546.8227500860551,533.4280388067947,537.3777465820312,2428150
2018-03-22,538.365296871634,541.7998442200973,529.3496100819176,531.5391235351562,1785067
2018-03-23,521.621770061704,536.6479115861151,519.260519250725,535.2311401367188,3153066
2018-03-26,534.9306154063196,539.7389595258154,529.7787956752796,532.6981811523438,1552991
2018-03-27,536.6478961354777,540.5976036882264,531.4960763325771,533.771484375,1135697
2018-03-28,533.3852317938091,550.3862312640852,529.478444533794,548.411376953125,5534298
2018-04-02,548.411175625686,555.1085302423343,544.4614160467282,549.7849731445312,2095519
2018-04-03,546.5222941568463,547.8102492884021,526.773648806324,528.8773193359375,3851192
2018-04-04,530.6375529401722,534.0721002083934,517.9726598886066,520.5914916992188,2670676
2018-04-05,529.0919449424873,532.9987314454996,519.0888064261693,530.079345703125,2809480
2018-04-06,528.9202537490661,534.0720744024661,527.0312423614135,530.8092651367188,1160620
2018-04-09,533.2134374235013,534.50139258636,526.559002415398,527.9328002929688,1427650
2018-04-10,533.1275213703109,540.5117756587573,525.0563158305482,537.8929443359375,2085181
2018-04-11,537.5494677780907,546.7798118261534,532.9128612818821,543.8175048828125,2139871
2018-04-12,546.4365144892818,562.4071390003717,544.4186864394871,560.5181274414062,3614281
2018-04-13,560.303275987569,578.5922242093901,550.471876907484,576.6173706054688,5653116
2018-04-16,565.0687089482799,586.2770428285648,564.5535479661748,574.1702880859375,3931095
2018-04-17,576.1452339012809,577.4331889696147,568.1170016048111,573.826904296875,1576573
2018-04-18,574.3850325810944,578.7211374470298,561.7201412200503,563.9525756835938,1676060
2018-04-19,569.2332284975664,574.64262939485,563.2227714101343,571.1651611328125,2662071
2018-04-20,572.7107639353587,606.1976002074412,572.7107639353587,601.47509765625,5490181
2018-04-23,596.3661461982749,626.3755111911697,592.9745205431816,602.7630004882812,6998046
2018-04-24,596.7525050832083,600.8310293985252,583.8729546137865,586.1912841796875,2728320
2018-04-25,588.9389677578343,601.0028036133147,581.2970797204121,589.3682861328125,4560558
2018-04-26,584.7315386529804,598.4697245831532,584.431036798566,593.4037475585938,2852323
2018-04-27,596.7954008991898,597.4822997467608,573.9556866735609,575.7158813476562,3756249
2018-04-30,579.5797803061952,587.4363271798228,573.6551660335882,575.8017578125,2639069
2018-05-02,578.7211097261143,578.7211097261143,562.8363314917921,568.8897094726562,1745715
2018-05-03,568.8897420436854,572.7106858867035,554.5934722584951,560.6468505859375,2284475
2018-05-04,560.6469203977009,571.5086446934939,546.4794129107281,568.9757080078125,3162498
2018-05-07,576.7891888117939,580.0090763563331,561.7201255847551,564.4677734375,2770174
2018-05-08,569.2760990111996,572.1954845843223,559.0153805611922,560.990234375,1771130
2018-05-09,560.68979788134,571.6374164464045,556.6541946739891,561.63427734375,2193797
2018-05-10,563.8238373718872,576.9180476821566,563.8238373718872,569.7913208007812,3927593
2018-05-11,569.2761571288228,576.7892285841428,561.7201643180207,572.2384643554688,2880596
2018-05-14,568.0739750328829,575.2865437078494,565.1975632771521,572.92529296875,1436196
2018-05-15,570.6499325771196,583.8729587829555,569.5337153432043,575.8447265625,2427422
2018-05-16,576.1452874409212,582.7568012208297,574.4280138568946,577.60498046875,1690858
2018-05-17,583.014371801649,584.7316453562929,572.1096742482533,580.2667236328125,2022339
2018-05-18,583.701156166898,598.899034623699,576.3598236432373,594.9922485351562,4304706
2018-05-21,594.1766301467997,597.5253344298023,582.3703748512527,588.4666748046875,2342450
2018-05-22,586.9640613073124,592.888675844822,579.5798062204994,589.3682861328125,1797801
2018-05-23,589.8834969324025,607.3138139440496,586.6636088487104,598.8562622070312,3516538
2018-05-24,601.8614084486559,614.6980376612263,597.4823298118691,610.7911987304688,5914361
2018-05-25,613.8824234584321,617.1023116305614,597.6112447471985,603.4070434570312,3547180
2018-05-28,613.0238135415441,613.0238135415441,568.7181189025565,579.7945556640625,8983562
2018-05-29,580.4813807915524,589.4541455645084,578.0772083048876,582.0269165039062,2684315
2018-05-30,582.1556938673722,593.5326303625679,582.1556938673722,590.0980834960938,3744400
2018-05-31,589.0247848925152,616.3294218740575,585.9766350439372,611.6498413085938,7789699
2018-06-01,611.3493293053526,619.506377940747,599.5001533479741,602.0331420898438,4585884
2018-06-04,599.3283569970213,615.6424526745907,597.095922761846,599.5859375,2864750
2018-06-05,603.6216328612411,613.7535359897397,598.7703142801283,602.1190185546875,3710175
2018-06-06,605.3389120980812,606.6268672302048,587.5651207933702,593.9619750976562,2793493
2018-06-07,596.3231964038956,604.3944024584217,586.448874217222,602.6341552734375,3166739
2018-06-08,605.3389533966654,619.3347229725152,604.0509981766725,607.0133056640625,4572713
2018-06-11,608.7734815496844,619.8499170569125,605.7682527973235,613.2384033203125,4023019
2018-06-12,614.0110730444175,617.0592752045854,606.4550806908851,608.8592529296875,2200939
2018-06-13,613.9252720352694,614.0111147468688,606.5410169987751,612.8948974609375,2429450
2018-06-14,610.490698121492,616.4153123572112,592.4593272908993,600.0153198242188,4483300
2018-06-15,603.1922279916158,611.3492759146342,596.9241911216479,607.270751953125,3273882
2018-06-18,610.4906450124643,613.1953713645684,602.2047805554641,610.104248046875,1693522
2018-06-19,608.7305614961818,611.3493932188735,596.3232494248703,597.3965454101562,2008178
2018-06-20,600.9598644076984,601.4750254795597,590.9996469598237,592.9315795898438,2117024
2018-06-21,596.4949736781768,603.4069891845844,585.7620140697708,588.4237670898438,2599578
2018-06-22,589.0247773671775,594.8634964573422,583.4436388061183,593.44677734375,1604665
2018-06-25,594.9922814178695,600.9598166600915,593.3179294568113,597.7399291992188,1850829
