date,open,high,low,close,volume,dividends,stock splits
2018-02-12,491.2331357986948,493.7888552854656,483.7421392586818,485.94537353515625,6291972,0.0,0.0
2018-02-14,487.3553678911765,492.3346983195844,480.3931268339167,483.7200317382813,8345712,0.0,0.0
2018-02-15,486.0334725366156,497.7987218427121,486.0334725366156,491.078857421875,7986736,0.0,0.0
2018-02-16,495.7276914227551,503.06447201379126,492.6872174907161,497.0716857910156,9889222,0.0,0.0
2018-02-19,497.2259311686756,500.5748365708527,493.65670233490926,498.70208740234375,6461840,0.0,0.0
2018-02-20,486.3639841120696,506.5235784705087,486.3639841120696,500.9934387207031,7188594,0.0,0.0
2018-02-21,505.6422594933497,507.5811163879488,502.3374081241121,505.5982055664063,13771358,0.0,0.0
2018-02-22,504.7829640709248,512.9128760280934,502.5356223553824,511.4807739257813,17859974,0.0,0.0
2018-02-23,512.692556644944,513.7941736553543,505.3117226751952,509.2334899902344,9459828,0.0,0.0
2018-02-26,507.18449031569423,508.96913145439646,499.8477099975447,501.720458984375,5083608,0.0,0.0
2018-02-27,504.5186654562944,508.35232590322295,496.0142122430428,506.8320617675781,6616026,0.0,0.0
2018-02-28,505.68628304421975,524.1493956759458,503.4610488632065,516.7024536132812,17268416,0.0,0.0
2018-03-01,515.3804873540988,515.3804873540988,509.4097554783947,511.4807739257813,6579852,0.0,0.0
2018-03-05,511.4808153634551,515.9093375853391,503.7694957262718,509.34368896484375,8101456,0.0,0.0
2018-03-06,512.2740221610076,513.5298549382205,503.923731995172,507.3387451171875,6689734,0.0,0.0
2018-03-07,508.9471351299503,511.15036948116216,501.4781921953024,504.1440734863281,6370416,0.0,0.0
2018-03-08,506.30305325110805,513.7059392532381,506.30305325110805,509.6740112304688,6093014,0.0,0.0
2018-03-09,512.1858588586739,513.7942306302045,509.1894925320255,512.6485595703125,4220964,0.0,0.0
2018-03-12,518.2006418999051,525.1848829906625,516.3278929814744,522.4969482421875,7676970,0.0,0.0
2018-03-13,520.0512629755073,527.4541497511264,517.8260292041225,521.6376342773438,8581052,0.0,0.0
2018-03-14,519.9632569201603,524.6341025379047,515.1601957380882,520.3157958984375,4429710,0.0,0.0
2018-03-15,519.9633241939746,523.6647687852005,516.4381491146935,521.06494140625,6101500,0.0,0.0
2018-03-16,520.8444421759743,521.0207116284272,515.2261962895584,516.3939208984375,17954826,0.0,0.0
2018-03-19,512.9129566020479,520.1836299559428,503.5051566869579,505.3117980957031,7526620,0.0,0.0
