date,open,high,low,close,volume
2018-03-01,12823.900390625,12842.650390625,12736.400390625,12769.4501953125,0
2018-03-05,12768.5498046875,12890.9501953125,12684.2998046875,12857.650390625,0
2018-03-06,12924.4501953125,12930.5498046875,12667.4501953125,12706.099609375,0
2018-03-07,12767.4501953125,12856.5498046875,12650.25,12677.150390625,0
2018-03-08,12757.0,12802.150390625,12645.75,12682.400390625,0
2018-03-09,12710.349609375,12805.349609375,12656.650390625,12747.25,0
2018-03-12,12825.25,13012.349609375,12813.25,12923.400390625,0
2018-03-13,12778.349609375,12842.2001953125,12663.2998046875,12734.2001953125,0
2018-03-14,12725.2001953125,12840.4501953125,12711.25,12786.9501953125,0
2018-03-15,12815.599609375,12860.0,12727.7998046875,12762.2998046875,0
2018-03-16,12776.25,12778.599609375,12606.599609375,12698.400390625,0
2018-03-19,12660.900390625,12725.349609375,12392.7001953125,12421.2998046875,0
2018-03-20,12385.0,12644.599609375,12375.400390625,12609.099609375,0
2018-03-21,12665.75,12698.349609375,12554.150390625,12608.849609375,0
2018-03-22,12607.650390625,12638.9501953125,12454.5,12489.599609375,0
2018-03-23,12292.650390625,12564.75,12281.2001953125,12541.099609375,0
2018-03-26,12536.599609375,12542.5498046875,12392.25,12462.400390625,0
2018-03-27,12539.5,12566.5,12444.7001953125,12518.2001953125,0
2018-03-28,12468.7001953125,12573.099609375,12424.5498046875,12511.5498046875,0
2018-04-02,12542.2998046875,12723.400390625,12541.349609375,12707.099609375,0
2018-04-03,12637.7998046875,12708.150390625,12557.0498046875,12615.4501953125,0
2018-04-04,12689.900390625,12689.900390625,12442.150390625,12490.849609375,0
2018-04-05,12617.4501953125,12695.7998046875,12578.9501953125,12682.5498046875,0
2018-04-06,12685.2998046875,12687.400390625,12569.25,12603.349609375,0
2018-04-09,12605.349609375,12640.2998046875,12506.400390625,12531.2001953125,0
2018-04-10,12532.25,12618.7998046875,12519.4501953125,12576.5498046875,0
2018-04-11,12629.400390625,12785.2998046875,12608.849609375,12759.099609375,0
2018-04-12,12782.0498046875,13219.5498046875,12766.650390625,13168.2001953125,0
2018-04-13,13240.650390625,13380.400390625,13085.0498046875,13260.4501953125,0
2018-04-16,12936.2998046875,13242.0498046875,12935.25,13203.099609375,0
2018-04-17,13177.099609375,13194.400390625,13094.0,13162.2998046875,0
2018-04-18,13185.2001953125,13218.4501953125,13106.2998046875,13124.0,0
2018-04-19,13192.9501953125,13295.7001953125,13157.849609375,13273.4501953125,0
2018-04-20,13379.349609375,13964.2998046875,13371.849609375,13910.349609375,0
2018-04-23,13897.650390625,14294.150390625,13836.5,14013.9501953125,0
2018-04-24,13976.7001953125,14071.5498046875,13704.849609375,13734.7998046875,0
2018-04-25,13737.5,13972.650390625,13665.7001953125,13892.400390625,0
2018-04-26,13836.9501953125,14056.150390625,13827.099609375,14026.650390625,0
2018-04-27,14015.7001953125,14070.349609375,13766.75,13794.900390625,0
2018-04-30,13818.849609375,14094.099609375,13810.5498046875,13986.25,0
2018-05-02,13985.5498046875,13985.5498046875,13723.650390625,13754.2998046875,0
2018-05-03,13759.4501953125,13759.4501953125,13430.75,13473.9501953125,0
2018-05-04,13488.75,13488.7998046875,13302.900390625,13453.2998046875,0
2018-05-07,13533.5498046875,13563.849609375,13395.849609375,13424.900390625,0
2018-05-08,13453.9501953125,13474.25,13297.2001953125,13379.650390625,0
2018-05-09,13397.849609375,13538.400390625,13390.900390625,13453.400390625,0
2018-05-10,13505.25,13566.0498046875,13403.2998046875,13427.2998046875,0
2018-05-11,13457.900390625,13519.150390625,13393.2998046875,13478.599609375,0
2018-05-14,13480.099609375,13495.5,13358.2001953125,13446.150390625,0
2018-05-15,13441.5498046875,13614.650390625,13419.7001953125,13504.9501953125,0
2018-05-16,13474.0498046875,13585.150390625,13466.599609375,13525.599609375,0
2018-05-17,13606.650390625,13625.5,13461.0498046875,13504.75,0
2018-05-18,13487.349609375,13526.9501953125,13412.849609375,13459.150390625,0
2018-05-21,13485.4501953125,13572.150390625,13434.099609375,13483.849609375,0
2018-05-22,13453.7998046875,13530.5498046875,13420.099609375,13484.5498046875,0
2018-05-23,13517.2998046875,13615.400390625,13435.5,13464.349609375,0
2018-05-24,13563.650390625,13797.9501953125,13543.650390625,13775.7001953125,0
2018-05-25,13854.099609375,13963.7001953125,13715.5,13762.349609375,0
2018-05-28,13832.9501953125,13832.9501953125,13457.599609375,13497.7001953125,0
2018-05-29,13535.4501953125,13631.2998046875,13482.0498046875,13561.0498046875,0
